document_type,customer_qty,document_qty,document_affiliate,customers
كمبيالة,3,3,4,400931 - 400927 - 400930 -
كمبيالة,3,3,4,400932 - 400928 - 400929 -
كمبيالة,3,7,2,400133 - 400128 - 400124 -
كمبيالة,6,1,2,400913 - 400887 - 400792 - 400788 - 400748 - 400874 -
كمبيالة,6,2,3,400830 - 400913 - 400858 - 400143 - 400764 - 400833 -
كمبيالة,3,3,4,400898 - 400241 - 400684 -
كمبيالة,3,3,4,400173 - 400210 - 400837 -
كمبيالة,3,3,4,400921 - 400786 - 400377 -
كمبيالة,3,3,4,400010 - 400917 - 400003 -
كمبيالة,3,3,4,400010 - 400100 - 400897 -
كمبيالة,3,2,3,400900 - 400905 - 400904 -
كمبيالة,3,3,4,400602 - 400885 - 400893 -
كمبيالة,3,3,3,400829 - 400894 - 400892 -
كمبيالة,3,3,3,400829 - 400894 - 400892 -
كمبيالة,3,3,3,400032 - 400841 - 400845 -
كمبيالة,3,3,4,400861 - 400862 - 400853 -
كمبيالة,3,3,3,400767 - 400906 - 400133 -
كمبيالة,3,3,3,400765 - 400832 - 400767 -
كمبيالة,3,3,3,400220 - 400050 - 400915 -
كمبيالة,3,3,4,400906 - 400829 - 400832 -
كمبيالة,3,2,2,400655 - 400038 - 400770 -
كمبيالة,3,3,4,400594 - 400891 - 400155 -
كمبيالة,3,3,4,400899 - 400882 - 400752 -
كمبيالة,3,3,3,400755 - 400761 - 400756 -
كمبيالة,2,4,4,400843 - 400936 -
كمبيالة,3,3,4,400464 - 400301 - 400016 -
كمبيالة,3,3,4,400823 - 400750 - 400751 -
كمبيالة,6,3,3,400361 - 400815 - 400202 - 400216 - 400178 - 400166 -
كمبيالة,6,2,2,400853 - 400850 - 400794 - 400893 - 400894 - 400860 -
كمبيالة,3,3,3,400769 - 400827 - 400762 -
كمبيالة,6,3,3,400765 - 400767 - 400133 - 400300 - 400766 - 400827 -
كمبيالة,3,3,5,400133 - 400878 - 400880 -
كمبيالة,3,3,4,400594 - 400891 - 400837 -
كمبيالة,2,3,4,400865 - 400866 -
كمبيالة,3,2,2,400007 - 400034 - 400768 -
كمبيالة,3,2,2,400841 - 400308 - 400330 -
كمبيالة,3,3,4,400010 - 400922 - 400916 -
كمبيالة,3,3,4,400157 - 400224 - 400570 -
كمبيالة,3,3,4,400898 - 400241 - 400825 -
كمبيالة,3,3,4,400185 - 400879 - 400753 -
كمبيالة,3,3,4,400823 - 400373 - 400577 -
كمبيالة,2,3,4,400903 - 400920 -
كمبيالة,3,2,4,400863 - 400895 - 400902 -
كمبيالة,3,3,3,400818 - 400577 - 400373 -
كمبيالة,3,3,3,400236 - 400827 - 400825 -
كمبيالة,2,3,3,400762 - 400825 -
كمبيالة,2,3,3,400798 - 400807 -
كمبيالة,3,3,3,400885 - 400804 - 400809 -
كمبيالة,3,3,4,400804 - 400809 - 400935 -
كمبيالة,2,3,4,400776 - 400772 -
كمبيالة,3,3,3,400792 - 400587 - 400777 -
كمبيالة,3,3,3,400795 - 400786 - 400873 -
كمبيالة,3,3,3,400219 - 400870 - 400854 -
كمبيالة,3,2,1,400844 - 400846 - 400814 -
كمبيالة,3,3,3,400782 - 400313 - 400859 -
كمبيالة,3,3,3,400872 - 400789 - 400741 -
كمبيالة,5,2,2,400803 - 400793 - 400797 - 400799 - 400799 -
كمبيالة,3,3,3,400886 - 400794 - 400791 -
كمبيالة,3,3,3,400010 - 400790 - 400934 -
كمبيالة,2,3,3,400782 - 400780 -
كمبيالة,2,2,2,400715 - 400852 -
كمبيالة,3,3,3,400003 - 400231 - 400161 -
كمبيالة,3,3,3,400749 - 400854 - 400859 -
كمبيالة,3,3,3,400771 - 400638 - 400229 -
كمبيالة,3,2,2,400839 - 400840 - 400836 -
كمبيالة,3,3,2,400747 - 400306 - 400785 -
كمبيالة,5,3,3,400780 - 400776 - 400773 - 400775 - 400774 -
كمبيالة,2,1,1,400177 - 400389 -
كمبيالة,4,2,2,400817 - 400730 - 400585 - 400327 -
كمبيالة,3,2,2,400210 - 400874 - 400739 -
كمبيالة,3,3,3,400740 - 400737 - 400868 -
كمبيالة,3,2,2,400743 - 400871 - 400876 -
كمبيالة,3,1,1,400876 - 400742 - 400067 -
كمبيالة,3,3,2,400875 - 400544 - 400869 -
كمبيالة,2,2,2,400877 - 400675 -
كمبيالة,3,3,1,400294 - 400838 - 400203 -
كمبيالة,3,2,1,400824 - 400490 - 400876 -
كمبيالة,5,3,2,400561 - 400558 - 400555 - 400564 - 400562 -
كمبيالة,6,2,1,400536 - 400549 - 400582 - 400538 - 400547 - 400540 -
كمبيالة,1,2,2,400293 -
كمبيالة,6,3,2,400256 - 400039 - 400745 - 400746 - 400912 - 400210 -
كمبيالة,3,3,2,400513 - 400039 - 400507 -
كمبيالة,3,3,3,400802 - 400801 - 400867 -
كمبيالة,6,3,4,400744 - 400323 - 400819 - 400106 - 400820 - 400821 -
كمبيالة,1,3,1,400656 -
كمبيالة,3,3,2,400787 - 400102 - 400800 -
كمبيالة,3,2,2,400674 - 400592 - 400627 -
كمبيالة,6,2,2,400698 - 400653 - 400625 - 400639 - 400636 - 400642 -
كمبيالة,6,2,2,400554 - 400556 - 400557 - 400560 - 400003 - 400208 -
كمبيالة,6,2,2,400611 - 400537 - 400539 - 400541 - 400542 - 400543 -
كمبيالة,6,2,2,400517 - 400514 - 400513 - 400375 - 400516 - 400080 -
كمبيالة,4,2,2,400602 - 400607 - 400605 - 400599 -
كمبيالة,6,2,2,400566 - 400671 - 400640 - 400696 - 400693 - 400587 -
كمبيالة,3,3,2,400075 - 400738 - 400822 -
كمبيالة,2,2,1,400760 - 400763 -
كمبيالة,3,5,7,400225 - 400109 - 400510 -
كمبيالة,2,2,2,400453 - 400831 -
كمبيالة,2,3,3,400505 - 400785 -
كمبيالة,2,1,1,400778 - 400781 -
كمبيالة,3,2,2,400805 - 400816 - 400812 -
كمبيالة,3,2,2,400692 - 400691 - 400695 -
كمبيالة,3,2,2,400648 - 400644 - 400635 -
كمبيالة,3,2,1,400806 - 400732 - 400758 -
كمبيالة,3,2,2,400933 - 400933 - 400720 -
كمبيالة,3,1,1,400883 - 400682 - 400808 -
كمبيالة,3,2,2,400909 - 400603 - 400600 -
كمبيالة,3,2,2,400700 - 400707 - 400114 -
كمبيالة,3,2,2,400694 - 400697 - 400699 -
كمبيالة,6,2,2,400612 - 400614 - 400615 - 400616 - 400617 - 400484 -
كمبيالة,2,2,1,400848 - 400849 -
كمبيالة,3,2,2,400686 - 400688 - 400702 -
كمبيالة,5,2,2,400595 - 400567 - 400534 - 400630 - 400569 -
كمبيالة,3,3,3,400884 - 400173 - 400731 -
كمبيالة,3,3,2,400881 - 400834 - 400831 -
كمبيالة,4,2,2,400566 - 400568 - 400570 - 400847 -
كمبيالة,3,2,2,400601 - 400629 - 400123 -
كمبيالة,6,2,2,400689 - 400606 - 400658 - 400654 - 400620 - 400659 -
كمبيالة,6,2,2,400633 - 400673 - 400685 - 400072 - 400647 - 400641 -
كمبيالة,6,2,2,400757 - 400810 - 400811 - 400759 - 400484 - 400879 -
كمبيالة,6,3,3,400714 - 400734 - 400071 - 400729 - 400732 - 400733 -
كمبيالة,3,2,2,400575 - 400003 - 400571 -
كمبيالة,5,2,2,400735 - 400728 - 400262 - 400727 - 400733 -
كمبيالة,3,2,2,400816 - 400881 - 400505 -
كمبيالة,5,2,2,400581 - 400667 - 400239 - 400828 - 400608 -
كمبيالة,2,2,2,400736 - 400726 -
كمبيالة,3,2,2,400668 - 400670 - 400669 -
كمبيالة,2,2,4,400718 - 400678 -
كمبيالة,3,2,2,400690 - 400651 - 400657 -
كمبيالة,4,2,2,400662 - 400660 - 400497 - 400604 -
كمبيالة,3,2,2,400580 - 400576 - 400585 -
كمبيالة,2,3,3,400578 - 400652 -
كمبيالة,3,2,2,400594 - 400643 - 400650 -
كمبيالة,3,1,1,400646 - 400665 - 400649 -
كمبيالة,2,2,2,400708 - 400706 -
كمبيالة,1,1,2,400076 -
كمبيالة,2,2,2,400553 - 400595 -
كمبيالة,2,1,2,400550 - 400551 -
كمبيالة,3,2,2,400720 - 400721 - 400711 -
كمبيالة,6,2,2,400684 - 400701 - 400655 - 400704 - 400680 - 400826 -
كمبيالة,6,2,1,400683 - 400622 - 400687 - 400663 - 400436 - 400624 -
كمبيالة,3,2,1,400579 - 400611 - 400329 -
كمبيالة,6,2,2,400548 - 400546 - 400503 - 400507 - 400509 - 400506 -
كمبيالة,5,2,2,400526 - 400533 - 400533 - 400524 - 400523 -
كمبيالة,3,2,2,400584 - 400598 - 400596 -
كمبيالة,3,2,3,400597 - 400623 - 400424 -
كمبيالة,2,2,2,400705 - 400243 -
كمبيالة,3,2,2,400676 - 400709 - 400716 -
كمبيالة,5,5,5,400544 - 400293 - 400299 - 400297 - 400117 -
كمبيالة,2,2,2,400717 - 400710 -
كمبيالة,3,2,2,400631 - 400672 - 400632 -
كمبيالة,1,2,3,400681 -
كمبيالة,5,2,2,400609 - 400621 - 400661 - 400371 - 400589 -
كمبيالة,6,2,1,400316 - 400559 - 400258 - 400563 - 400565 - 400552 -
كمبيالة,2,4,4,400545 - 400285 -
كمبيالة,6,2,2,400686 - 400215 - 400677 - 400626 - 400613 - 400556 -
كمبيالة,2,2,2,400492 - 400474 -
كمبيالة,2,1,2,400387 - 400493 -
كمبيالة,3,2,2,400419 - 400279 - 400397 -
كمبيالة,5,6,6,400354 - 400349 - 400352 - 400347 - 400346 -
كمبيالة,6,2,2,400174 - 400435 - 400529 - 400525 - 400528 - 400527 -
كمبيالة,2,2,2,400078 - 400442 -
كمبيالة,6,1,1,400370 - 400441 - 400439 - 400444 - 400443 - 400440 -
كمبيالة,4,2,2,400434 - 400432 - 400433 - 400431 -
كمبيالة,5,6,6,400453 - 400307 - 400452 - 400455 - 400454 -
كمبيالة,4,2,2,400502 - 400499 - 400311 - 400456 -
كمبيالة,3,4,4,400342 - 400445 - 400082 -
كمبيالة,3,2,2,400500 - 400436 - 400437 -
كمبيالة,2,2,2,400027 - 400451 -
كمبيالة,4,5,5,400364 - 400518 - 400521 - 400522 -
كمبيالة,3,5,5,400271 - 400255 - 400520 -
كمبيالة,4,2,2,400449 - 400450 - 400205 - 400031 -
كمبيالة,6,2,2,400372 - 400318 - 400321 - 400446 - 400447 - 400448 -
كمبيالة,6,5,5,400368 - 400367 - 400345 - 400278 - 400289 - 400494 -
كمبيالة,6,2,2,400504 - 400911 - 400508 - 400511 - 400512 - 400515 -
كمبيالة,4,2,2,400326 - 400327 - 400427 - 400430 -
كمبيالة,2,3,3,400283 - 400334 -
كمبيالة,2,6,6,400263 - 400286 -
كمبيالة,3,6,6,400322 - 400324 - 400325 -
كمبيالة,3,4,4,400337 - 400339 - 400338 -
كمبيالة,3,4,4,400333 - 400336 - 400099 -
كمبيالة,3,4,4,400359 - 400360 - 400346 -
كمبيالة,3,4,6,400355 - 400356 - 400358 -
كمبيالة,3,5,6,400344 - 400343 - 400341 -
كمبيالة,5,6,5,400361 - 400532 - 400158 - 400362 - 400166 -
كمبيالة,3,6,7,400310 - 400363 - 400383 -
كمبيالة,3,6,6,400378 - 400376 - 400301 -
كمبيالة,3,6,6,400348 - 400353 - 400396 -
كمبيالة,3,6,6,400372 - 400377 - 400302 -
كمبيالة,3,7,6,400381 - 400253 - 400384 -
كمبيالة,3,8,7,400365 - 400350 - 400335 -
كمبيالة,6,2,2,400328 - 400330 - 400331 - 400332 - 400320 - 400428 -
كمبيالة,6,5,5,400304 - 400319 - 400351 - 400269 - 400369 - 400274 -
كمبيالة,3,6,6,400380 - 400379 - 400429 -
كمبيالة,2,1,1,400314 - 400315 -
كمبيالة,3,1,3,400313 - 400309 - 400312 -
كمبيالة,3,2,5,400303 - 400305 - 400306 -
كمبيالة,3,1,2,400300 - 400298 - 400296 -
كمبيالة,3,2,5,400292 - 400294 - 400295 -
كمبيالة,3,2,6,400270 - 400276 - 400281 -
كمبيالة,3,2,2,400248 - 400243 - 400132 -
كمبيالة,2,4,2,400254 - 400256 -
كمبيالة,3,7,6,400236 - 400251 - 400252 -
كمبيالة,3,3,3,400229 - 400230 - 400232 -
كمبيالة,3,6,6,400234 - 400238 - 400240 -
كمبيالة,3,6,7,400250 - 400245 - 400242 -
كمبيالة,3,5,5,400241 - 400257 - 400258 -
كمبيالة,3,5,6,400260 - 400261 - 400266 -
كمبيالة,3,5,6,400267 - 400264 - 400262 -
كمبيالة,3,5,5,400180 - 400188 - 400193 -
كمبيالة,3,2,2,400215 - 400221 - 400226 -
كمبيالة,3,3,3,400201 - 400209 - 400211 -
كمبيالة,3,3,3,400200 - 400196 - 400195 -
كمبيالة,3,2,2,400235 - 400239 - 400231 -
كمبيالة,4,6,5,400204 - 400213 - 400219 - 400224 -
كمبيالة,4,6,5,400192 - 400182 - 400176 - 400157 -
كمبيالة,4,6,6,400246 - 400247 - 400249 - 400227 -
كمبيالة,3,6,6,400244 - 400237 - 400228 -
كمبيالة,3,6,6,400202 - 400208 - 400205 -
كمبيالة,3,6,6,400194 - 400198 - 400222 -
كمبيالة,3,6,6,400184 - 400186 - 400189 -
كمبيالة,3,2,2,400172 - 400197 - 400207 -
كمبيالة,3,6,5,400203 - 400187 - 400191 -
كمبيالة,4,5,6,400218 - 400225 - 400177 - 400210 -
كمبيالة,3,6,6,400156 - 400162 - 400168 -
كمبيالة,5,3,4,400190 - 400178 - 400217 - 400233 - 400231 -
كمبيالة,5,3,3,400199 - 400216 - 400179 - 400173 - 400165 -
كمبيالة,6,3,3,400169 - 400170 - 400171 - 400175 - 400531 - 400174 -
كمبيالة,5,3,3,400158 - 400151 - 400153 - 400160 - 400155 -
كمبيالة,5,5,5,400161 - 400164 - 400167 - 400157 - 400166 -
كمبيالة,5,2,3,400181 - 400185 - 400220 - 400214 - 400206 -
كمبيالة,5,6,6,400134 - 400136 - 400138 - 400141 - 400143 -
كمبيالة,4,6,6,400145 - 400146 - 400147 - 400148 -
كمبيالة,2,2,3,400130 - 400183 -
كمبيالة,3,6,6,400212 - 400223 - 400142 -
كمبيالة,3,6,2,400268 - 400125 - 400121 -
كمبيالة,3,7,7,400159 - 400163 - 400137 -
كمبيالة,5,6,5,400120 - 400126 - 400129 - 400139 - 400132 -
كمبيالة,2,5,5,400149 - 400154 -
كمبيالة,3,3,3,400140 - 400144 - 400152 -
كمبيالة,3,3,3,400107 - 400111 - 400123 -
كمبيالة,3,5,6,400131 - 400135 - 400131 -
كمبيالة,3,6,6,400116 - 400118 - 400122 -
كمبيالة,3,4,4,400110 - 400113 - 400115 -
